codigo,TipoVia,NombreVia,barrio,via,ViaCatastro
CL,CALLE,FUENSANTA,ZENETA,"CALLE FUENSANTA, ZENETA",FUENSANTA(CALLE) en ZENETA
CL,CALLE,FUENTE ALAMO DE MURCIA,JERON.-AVILESES,"CALLE FUENTE ALAMO DE MURCIA, JERON.-AVILESES",FUENTE ALAMO DE MURCIA(CALLE) en JERON.-AVILESES
CL,CALLE,FUENTE BLANCA,MURCIA,"CALLE FUENTE BLANCA, MURCIA",FUENTE BLANCA(CALLE) en MURCIA
CL,CALLE,FUENTE DEL PEDRO-TORREGUI,SANGONERA VERDE,"CALLE FUENTE DEL PEDRO-TORREGUI, SANGONERA VERDE",FUENTE DEL PEDRO-TORREGUI(CALLE) en SANGONERA VERDE
CL,CALLE,FUENTE SAN JOSE,LA CUEVA,"CALLE FUENTE SAN JOSE, LA CUEVA",FUENTE SAN JOSE(CALLE) en LA CUEVA
CL,CALLE,FULGENCIO MARIN,MURCIA,"CALLE FULGENCIO MARIN, MURCIA",FULGENCIO MARIN(CALLE) en MURCIA
CL,CALLE,FUNDACION ALZHEIMUR,ESPARRAGAL,"CALLE FUNDACION ALZHEIMUR, ESPARRAGAL",FUNDACION ALZHEIMUR(CALLE) en ESPARRAGAL
CL,CALLE,FUNDADORES,RAMOS LOS,"CALLE FUNDADORES, RAMOS LOS",FUNDADORES(CALLE) en RAMOS LOS
CL,CALLE,FUNDADOR MACIASCOQUE,GUADALUPE,"CALLE FUNDADOR MACIASCOQUE, GUADALUPE",FUNDADOR MACIASCOQUE(CALLE) en GUADALUPE
CL,CALLE,FUTBOLISTA ANTONIO RUIZ,GUADALUPE,"CALLE FUTBOLISTA ANTONIO RUIZ, GUADALUPE",FUTBOLISTA ANTONIO RUIZ(CALLE) en GUADALUPE
CL,CALLE,FUTBOL,SANGONERA VERDE,"CALLE FUTBOL, SANGONERA VERDE",FUTBOL(CALLE) en SANGONERA VERDE
CL,CALLE,F (ZM-SA1),SANTO ANGEL,"CALLE F (ZM-SA1), SANTO ANGEL",F (ZM-SA1)(CALLE) en SANTO ANGEL
CL,CALLE,G-1 (ZM-SA1),SANTO ANGEL,"CALLE G-1 (ZM-SA1), SANTO ANGEL",G-1 (ZM-SA1)(CALLE) en SANTO ANGEL
CL,CALLE,G-2 (ZM-SA1),SANTO ANGEL,"CALLE G-2 (ZM-SA1), SANTO ANGEL",G-2 (ZM-SA1)(CALLE) en SANTO ANGEL
CL,CALLE,GABALDON,ALJUCER,"CALLE GABALDON, ALJUCER",GABALDON(CALLE) en ALJUCER
CL,CALLE,GABRIELA FERNANDEZ VAQUER,LOBOSILLO,"CALLE GABRIELA FERNANDEZ VAQUER, LOBOSILLO",GABRIELA FERNANDEZ VAQUER(CALLE) en LOBOSILLO
CL,CALLE,GABRIELA MISTRAL,ESPARRAGAL,"CALLE GABRIELA MISTRAL, ESPARRAGAL",GABRIELA MISTRAL(CALLE) en ESPARRAGAL
CL,CALLE,GABRIEL CELAYA,MURCIA,"CALLE GABRIEL CELAYA, MURCIA",GABRIEL CELAYA(CALLE) en MURCIA
CL,CALLE,GABRIEL GARCIA MARQUEZ,GUADALUPE,"CALLE GABRIEL GARCIA MARQUEZ, GUADALUPE",GABRIEL GARCIA MARQUEZ(CALLE) en GUADALUPE
CL,CALLE,GABRIEL LUJAN CABALLERO,EL PALMAR,"CALLE GABRIEL LUJAN CABALLERO, EL PALMAR",GABRIEL LUJAN CABALLERO(CALLE) en EL PALMAR
CL,CALLE,GABRIEL MIRO,MURCIA,"CALLE GABRIEL MIRO, MURCIA",GABRIEL MIRO(CALLE) en MURCIA
CL,CALLE,GABRIEL PINAZO,MURCIA,"CALLE GABRIEL PINAZO, MURCIA",GABRIEL PINAZO(CALLE) en MURCIA
CL,CALLE,GALATEA,MURCIA,"CALLE GALATEA, MURCIA",GALATEA(CALLE) en MURCIA
CL,CALLE,GALAXIA,CASILLAS,"CALLE GALAXIA, CASILLAS",GALAXIA(CALLE) en CASILLAS
CL,CALLE,GALDO,MURCIA,"CALLE GALDO, MURCIA",GALDO(CALLE) en MURCIA
CL,CALLE,GALEON,MURCIA,"CALLE GALEON, MURCIA",GALEON(CALLE) en MURCIA
CL,CALLE,GALICIA,MURCIA,"CALLE GALICIA, MURCIA",GALICIA(CALLE) en MURCIA
CL,CALLE,GALILEA,ALGEZARES,"CALLE GALILEA, ALGEZARES",GALILEA(CALLE) en ALGEZARES
CL,CALLE,GALILEO,MURCIA,"CALLE GALILEO, MURCIA",GALILEO(CALLE) en MURCIA
